Job_Loc,industry_compsize,usetime,score,review_title,review_body,review_pro,review_con
Administrative Assistant in United Arab Emirates,"Computer Hardware, 11–50 Employees",Used the Software for: 2+ years,5.0,Shopify The Future of E Commerce,My overall experience with Shopify is pretty smooth and I can organize systematically my e-commerce business because of Shopify.,"It's an incredibly friendly user, and a great way to start a passive income for e-commerce. It's easy to understand, low cost of entrance, and MVP test. Unlike others platform, Shopify is highly credible to offers high quality digital or physical products that can results in high profits",While using Shopify I've found out that it's very difficult to make automatic backups. membership also is a con for me because it's a little bit pricy from my side.
Acting Head Digital Solution chez UBA GUINEE in Guinea,"Internet, 11–50 Employees",Used the Software for: 2+ years,5.0,Shopify e-commerce,Shopify is a best e-store creation software that I highly recommend to merchants around the world,I will never finish saying thank you to the developers of Shopify. Really it's a good software for creating an e-store,"To tell the truth, Shopify works very well not any problem"
owner in Canada,"Retail, 2–10 Employees",Used the Software for: 2+ years,5.0,New businesses a start up,"Overall Shopify if very experienced and has all the needs one would require to do a start up business online. Shopify preps you for it all so you can have online orders, payments made, inventory count, add items and remove items on your website easily.","It is a great app for online apps to use. It is not too difficult, has everything you need to start up a business online. You can get help if needed just have to find the correct division and person. Not epensive if this is one of your only monthly expenses.",Not everything is available in Canada yet!! US gets it first and then Canada is usually a few months later. Company has expanded a lot in a year . And its not the software but the monthly fees are in US payments plus HST which does not make sense. It should be Canadian dollar the statments.
"Marketing & Advertising, Self Employed",Used the Software for: 1-5 months,Reviewer Source,5.0,Excellent way to kickstart your ecommerce store,Overall Shopify is a fantastic app to use if someone wants to kickstart an ecommerce store from the fundaments. With no further programming background and a minimum understanding of back end management everyone can start running a profitable business. One has to pay the cost of it that's for sure. Every transaction had a fee and the domain and profile management was rather expensive (in my case mainly because I couldn't drive enough traffic to my website).,"Shopify is a really intuitive and easy to use interface for me. I started using it as a vendor of home improving pieces. I have bought a domain name on the Shopify platform and attached an ecommerce website to it with such ease that I could not find in other website building services. The interface of creating the site, and product management itself was yet again a feature I could easily deal with. It was absolutely beginner friendly and easy to use. I also liked the fact that it provided up to date legal documents to launch my online store with.","Compared to other website building applications that offer ecommerce options Shopify is quite expensive to maintain. The monthly subscription along with the domain subscription fee is significantly higher than in case of running an ecommerce store in WordPress for instace. If your store is not delivering the expected results within the first month of launching it, Shopify can be seen as an unbeneficial solution for all these ecommerce management tasks."
Chief Content Officer in US,"Marketing & Advertising, 11–50 Employees",Used the Software for: 2+ years,5.0,Shopify is the Best E-commerce Service,"I use Shopify as an effective tool to get small businesses into e-commerce, knowing that it can grow with their needs. The service is flexible enough to accommodate most anything you would want to sell on the web and it interfaces with hundreds of front office and shipping solutions. Highly recommend Shopify!",The flexibility and full feature set of Shopify make it the best e-commerce software on the market. It is powerful enough for complex store operations but simple enough to novices to implement. The wide array of add-one and third-party developers help ensure interoperability with a lot of common systems.,There is not much to complain about with Shopify. Some of the third-party add-ones are a bit immaturely in their development but that isn’t Shopify’s problem. The base templates are ordinary but effective for starting sites.
Marketing Manager in US,"Architecture & Planning, 11–50 Employees",Used the Software for: 2+ years,5.0,Shopify is perfect for small business owners!,"Shopify is cool, I have helped set up various kinds of shops for local business owners. Almost all of really content with what shopify has to offer.",Shopfy really does help business owners manage their inventory and make sales. I feel shopify adds more credibility to shops.,"In terms of design I think it lacks on true creative freedom, but it does help people who are not too invested in using their creativity. The option of choosing themes kind of forces you to like a layout instead of creating one yourself."
Founder and CEO in US,"Hospital & Health Care, 2–10 Employees",Used the Software for: 2+ years,1.0,Shopify has cost my business thousands of dollars - terrible support and even worse programmers,"Shopify is terrible. They have the worst programmers of any online company I have ever worked with. Their customer service is nonexistent - I literally just waited in a queue for 40 minutes, and the rep didn't like my question, so they immediately ended the chat without even addressing me. This company has cost my business thousands of dollars. Anyone who is considering eCommerce platforms should NOT start with Shopify, but rather Volusion, Lemonstand, or, if you can afford it, get a programmer for Magento. Based on the amount of money Shopify has lost my business due to their extremely buggy software (they break things that work on a regular basis - it gets worse every week), I will warn people about Shopify for the rest of my life.","-Attractive interface
-Attractive buy buttons","-Terrible programmers
-Huge wait times for service
-Customer service reps are poorly trained and fail to assist with almost all issues
-Extremely buggy software"
"Apparel & Fashion, 2–10 Employees",Used the Software for: 2+ years,Reviewer Source,5.0,No affiliate program,"Shopify is good website builder but I am expecting more feature on language (Indonesia for example) , more feature for digital download .",Easy tobuse for small business owner and for beginner,"Dificult to reach customer support.
Shopify expert is con, they are not expert i pay amouny of dollar without suggesting something significant instead ask me to do it by myself.
The worst answer for shopify expert “upgrade your plan” that’s it and they cahrge me 100$ for that and refuse to give me refund.
I was expecting the shopify expert is the shopify teams not freelancerr from around the world or sitty agency names themself as expert."
"Graphic Design Software, Self Employed",Used the Software for: 2+ years,Reviewer Source,4.0,"Lots of potential, but too many add on costs",It does most of what an ecom store owner needs. The only real downfall is needing apps for everything.,This is a pretty robust ecommerce platform for those who don't want to have to code from scratch. They have a selection of free and paid templates to get you started. There are lots of useful features like reports and social media shopping integration.,"You have to pay extra for every feature via their app store, even apps that seem like they should be included for free (like a photo gallery for example). All these apps are a subscription, so the monthly costs add up fast. Additionally, it is an open marketplace so you have to rely on the app developer for help or upgrades and some of them are unresponsive or slow to fix bugs. If you want to change the templates, you have to know code or hire someone who does."
Antiques trader in France,"Retail, Self Employed",Used the Software for: 1+ year,5.0,Easy to use ecommerce platform.,It is very easy to design a store with Shopify and get started. Customer support is very efficient and responds quickly.,"Shopify is very easy to use, has good templates and the customer support is great.
I used 2 different ecommerce platforms before. My store is more succesful now that I switched to Shopify.",The apps are expensive. I wish that basic things like showing shipping fees was available without paying for an app.
Content Editor in US,"Internet, 11–50 Employees",Used the Software for: 1+ year,5.0,Excellent ecommerce platform,,,
freelancer in Morocco,"Computer & Network Security, Self Employed",Used the Software for: 2+ years,4.0,Shopify is an superb sitweb for e-trade and promoting without delay to customer,I additionally love that they've such a lot of capabilities to assist enhance sales,"Shopify is the excellent software program I've determined for promoting and advertising at once to clients or even shopping for items,
You also can create as many shops as you want, relying at the niche, Adding merchandise may be very easy ; It may be very stable and gives many techniques of accepting payments.","first thing If your shop remains new, your income are low on the start , and month-to-month prices are related to Shopify, no matter your income. Also, because you are constructing a shop from already mounted templates, whole customization is limited. You ought to additionally serve advertisements or power visitors on your shop."
,Used the Software for: 2+ years,Reviewer Source,5.0,I use Shopify every day for the small business I help manage.,,,
"Computer & Network Security, 2–10 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,THW AAimplicity of Sopify,"I love using s Shopify , it has brought me a lot of ease in my life, it is cost effective and cost efficient, I enjoy using it and i can conduct business with ease anywhere","The fact that your store is created in minutes is a perk, i love the fact that there is a 14 day trial period where you can actually set up and run your business and even make money in this period.
Shopify has brilliant themes and it user friendly. It actually makes many aspects of opening an online store simple as opposed to other sites. It has so many plugins , you can customize your store to perfection. it provides reports and basics on the lowest payment option which is still hoog enough to create an amazing store.","I think the cons would be the fact that you would have to play around with the software to get use to it, sometimes bulk impotys give issues when they arent in correct formats as per shopifys specifications so make sure you download their template , other that that its basically like magical."
Administrative Assistant in US,"Accounting Software, 11–50 Employees",Used the Software for: 6-12 months,5.0,Great service to create your online store,The website is great and I still use it and I totally love the easiness to setup a website and sell and process payments. But I really wish the shipping prices for international customers were included in the basic without having to upgrade.,I love that I was able to easily add my domain to my shopify store. They have instructions and if you have any questions customer service is great and fast to answer. You can easily edit your website and add your merchandise. The shopify account lets you add your social media like twitter to check how much your audience is engaging with your posts. You can create marketing campaigns. You can check how much traffic your website is getting and constantly receive on the from tips to improve. You can add apps to your store if you want to star a dropshipping business.,"We were using shopify the basic one, and added a app to start a dropshipping business. Which we thought the shipping was the prices that the app said. But apparently to use those prices for my customers, I need to upgrade the shopify account or add an extra feature and pay more from the monthly payment."
Founder in,"Marketing & Advertising, 2–10 Employees",Used the Software for: 6-12 months,5.0,Number One eCommerce Platform,"I have been in the eCommerce business for over 15 years. I worked with different platforms along the way, from custom built apps, to Wordpress and Amazon Webstore. I have tested, Magento, Volusion and countless others. Nothing comes close to Shopify.","Shopify is SaaS (Software as a service), which means no need for hosting, software updates, security seal and so on
It include Integrated payment and reasonable fees
Best of class customer service and support. Really the best. (Not mention that many other platform don't even have a customer support)
Wonderful and easy to set up and use admin and back office.
Great SEO
Many add-ons and apps available.
You can get started with practically no upfront cost.
Shopify allows you to sell offline and online store","If you require many apps the cost per month could be somewhat expensive.
Shopify created it's own script, called liquid, which may make it harder, in comparison with other platform, to find an experienced programmer."
Founder Director in Mexico,"Textiles, 2–10 Employees",Used the Software for: 2+ years,5.0,great interface and friendly,"great, ive been using it for 6 years, good costumer service, good interface, i dont like you have to pay for evetything and that you start charging the POS, i think it was abussive. And the price is super high, its not worth it, but an the same time because we where using it before we had to stay. and we didnt like that",Its is very friendlyI like to see the data,"You can do everything but it has a rent, i dont like that we are paying a lot now, and byt end we will have to change to ours because it will be unpayable in a couple of years. i dont like you have to pay for evetything and that you start charging the POS, i think it was abussive. And the price is super high, its not worth it, but an the same time because we where using it before we had to stay. and we didnt like that"
CEO in US,"Arts & Crafts, 2–10 Employees",Used the Software for: 2+ years,5.0,Best E Commence Platform,I am very satisfied with Shopify. I have became a full time business owner based on shopify site,Easy to navigate. Easy to build your website. Great for small businesses,I wish you could deselect products to be excluded from discount codes
Administrator in US,"Education Management, 2–10 Employees",Used the Software for: 6-12 months,3.0,It could be better,We are using the site now but I am shopping around.,"The ease of setting up the website is okay, there is a few options under free (this is really geared for you to purchase eventually).","Updating purchases being mailed out is not easy (some purchases you have to go through another program to mark it sent), as a standard there should or could be an option for packing slips, and printing out a customized mailing label. The experience could be a lot better for business that are paying. Layouts for the website really shouldn't cost a lot, the better priced would really encourage businesses to maybe purchase more."
Ceo in US,"Music, Self Employed",Used the Software for: 2+ years,5.0,Love Shopify,Great,Great for managing and selling products,Sometimes it can be difficult to use and would love a better built in music player
Freelancer in Philippines,"Computer Software, Self Employed",Used the Software for: 6-12 months,5.0,Shopify Review,"At its heart, Shopify goes about as a web designer. This anchor instrument that Shopify is revolved around offers a realistic UI (GUI)- driven approach to building a site. No extra coding information is important.","Shopify is an internet business stage that runs on the web and disconnected for building a site that contains your web-based store. It sells as a membership administration, so there's no...","Things We Dislike About Shopify
1-Customize topic utilizing own PHP language
Shopify stage utilizes their self-created PHP language called ""Fluid"".
All subjects are coded in this organization. It makes subject customization harder except if you know how to code in Liquid or will recruit a designer who knows how to code Shopify topics.
A few Shopify surveys from engineers notice that Liquid is a simple to-learn language however actually I feel awkward playing with the code.
Except if you need to alter subject center records, then, at that point, you're protected off staying with their prebuilt ones.
Then again, you can decide on an exceptional subject with help rather to try not to any code issues."
Marketer in France,"Marketing & Advertising, Self Employed",Used the Software for: 6-12 months,5.0,A perfect software for E-commerce,"I am very happy to use Shopify in my marketing agency, both for my own stores and for my clients' shops. I find it very easy and intuitive to use. Even if some bugs can occur, the mobile interface can be more difficult to handle, which is a pity when you are on the move.","Working in the field of online marketing and more particularly turned to the world of e-commerce, I appreciate very much the Shopify software for the creation of online store whether for myself or my customers because of its simplicity of use, as well as I found that the guides that the software provides us are very practical especially when we have a question about one of the features of Shopify. Also, I appreciate the many features offered by the software that are often organized logically and intuitively.","Overall, the Shopify software has very few flaws. However, despite these multiple advantages, we can see the existence of some bugs on the interface. Also, unlike the laptop interface, the mobile interface is a bit more complicated to use."
Owner in US,"Retail, 2–10 Employees",Used the Software for: 1+ year,5.0,Perfect for small business.,I’ve had amazing experience with Shopify. Everything was super user-friendly very fast to get our website up and going.,I like how easy the back end took shows you what you need to do. Very user friendly and quick to have your website up and live.,I wish you could categorize your inventory into folders.
Developer in UK,"Computer Software, 11–50 Employees",Used the Software for: 1-5 months,5.0,Super easy ecommerce solution with templating for advanced users,Sometimes clients want a minimum viable eCommerce solution - something which Shopify is very good at doing.,The templates system that lets more advanced users customize the look and feel of the site. If you are a developer who needs to set up an online shop on a budget this is by far the best solution. If you aren't a developer there is a large theme store.,Theme store is a bit expensive and if you do buy a theme you risk having your shop look exactly the same as another random shop online. Obviously this is to be expected if you are buying off-the-shelf themes but it is something to bear in mind if you or your client is sensitive about branding.
Founder/CEO in US,"E-Learning, 2–10 Employees",Used the Software for: 2+ years,5.0,Everything you need for ecommerce,"Shopify is practically perfect, a great platform for ecommerce, easy to set up you don't need a designer to do it and someone is just a phone call away.","I can offer physical or digital products either as a shop website, storefront, on social media or with a button on my website. All the tax and shipping costs are automatically worked out - I love that I don't have to go to the post office each time, I can print a label directly from the sale. Digital products are protected and hosted on Shopify. Creating websites is super easy, lots of free and paid templates to choose from. Plus support is amazing, a phone call away 24/7","It's personal to my work rather than a con, I've moved to offer online courses and I couldn't find a way to host this from within my Shopify site"
Website developer in US,"Computer Software, Self Employed",Used the Software for: 1+ year,5.0,Spotify In Use,My overall experience is Great I love it's the bomb for my business,I love how i can start my e-commerce business on there site and get paid plus have email marketing. I live how I'm able to rearrange my life to have it on the go Plus I'm able to ship out in a timely manner.,There is nothing I can say bad about it Some of my photos loaded up slower than normally
CEO in Bangladesh,"Internet, 11–50 Employees",Used the Software for: 2+ years,5.0,Shopify is known as the greatest E-commerce platform ever!,My Overall Experience is very good to use Shopify and i am fully satisfied.,"I Really love almost to not say everything from Shopify. Shopify is easy to use, almost everything is automated Especially product uploading CSV file base. the CSV file base product uploading Very easy not hard like other platforms. My experience is satisfactory 95% coz The price is acceptable too but bit low best for new or small businesses. have had no problems with my website. Once you get to know how everything it is very easy to use.",Especially I like to upload a product CSV file base. i really like this option. why I like it coz other platforms hard and not able to upload anyone. Only Shopify are very easy to upload a CSV file based product.
Owner in US,"Arts & Crafts, Self Employed",Used the Software for: 1-5 months,5.0,"One of the best online shopping sites, if you already have a customer base.","I used Shopify when I first started my small craft business. I set up my shop, all my listings, and my business details. It was a great experience, and super easy for a first-time small business owner to use.","Shopify is one of the most well-known online web-store options out there. It's one of the first sites that anyone thinks of when they start looking to setup an online shop. The pricing is fair. The ability to have a custom url address is fantastic for branding reasons. It's extremely easy to use and quick to set up. The features are all detailed and easy to learn. The layout and look are appealing, and they really help your shop start off looking great. Overall, Shopify is a great choice for anyone who is looking to open up an online business. There are plenty of competitors, but you owe it to yourself to give Shopify a try.","The main downside to Shopify is that you have to advertise your shop yourself. If you don't have a customer base or following already built, then it's going to take some time before you start seeing any progress or sales. You have to post, share, tell others, and get the word out to help others find your shop. I opened up my first online shop with Shopify, but I had just started out so I didn't even have that many social media followers. So it took a whole lot of time, patience, and hard work to start getting views in my shop. Based on the pricing and the amount of work that I had to put in, I decided that it made more sense to start on a site with its own following already, Etsy, so that I could get at least a few views while I built up my social media followers. Shopify is great if you have people who are looking for your shop, but if you're just starting out, just realize that it will take some time and work to be found."
Freelancer in India,"Information Technology & Services, Self Employed",Used the Software for: 2+ years,5.0,World's best e-commerce website hosting,,,
Owner in US,"Retail, Self Employed",Used the Software for: 2+ years,3.0,Shopify is equally split on good and bad,Overall my experience with Shopify has only been okay. There is definitely room for improvement..shopify needs to stop telling its paying users to add applications...shopify should be adding these features to their basic plans!,"I started using Shopify to create my first online store. For someone who wasn't familiar with commerce to begin with, Shopify has been great. The interface is simple and easy to use and understand. Customer service is typically friendly.","The cons I have about Shopify is that there are frequent crashes (with accessing store live information, shipping issues etc). There are also a lot of things that are unable to be easily edited (other than through html). This leads to having to use their apps (although some are free, most come with a monthly fee)."
Customer Service Representative in Canada,Telecommunications,Used the Software for: 6-12 months,4.0,Easy to get your e-commerce business off the ground fast,,,
Freelancer in Bulgaria,"Computer Software, Self Employed",Used the Software for: 2+ years,5.0,"Is Shopify truly the best tool for your needs? Yes, in a word!",I've been with Shopify for approximately two years and I adore it.,"- Products, storage, and monthly data transmission are all unlimited.
- A dashboard that is simple to utilize.
- Themes that are both free and beautiful.
- Customer service is available 24 hours a day, 7 days.
- Third-party app shop with a large selection.","- Using external gateways incurs additional transaction costs.
- There isn't a free plan available (just a free trial).
- Fees for transactions.
- It's possible that you'll have to wait longer for a response from tech support."
Manager in United Arab Emirates,"Marketing & Advertising, 51–200 Employees",Used the Software for: 1+ year,5.0,"Ease to use, accessibility/SEO for enhanced sales and phenomenal for business.","powerful platform that is suitable for online enterprises and is user-friendly. It is simple to set up an online store and manage products, inventory, and shipping with Shopify's user-friendly interface.Its ability to link with various third-party apps, like payment gateways, email marketing tools, and social networking platforms, enhances many advantages for businesses, including better consumer involvement and enhanced online visibility. Online store optimization with the use of SEO technologies can increase sales and earnings.","Easy-to-use interfaceLitheness and scalability for businesses of all sizesInclusive e-commerce platformRobust set of features including inventory management, payment processing, shipping, and analyticsExtensive app store with a wealth of additional functionality and customization optionsResponsive customer supportReliable hostingA variety of pricing plans to suit different business needs and budgetsGreat choice for businesses looking to start or expand their online sales.",Limited support for multi-lingual storesLimited options for discount codes and promotions
Freelancer in Italy,"Design, Self Employed",Used the Software for: 1-5 months,4.0,The best platform to set an e-commerce in minutes!,"Shopify is, in my opinion, the best platform for implementing e-commerce projects quickly and effectively. Even if you have low resources, you may sell on an enterprise level here and develop later without difficulty. There is a great aggregate pool of knowledge with top talent in the development and advising of e-commerce projects of any size throughout the Shopify ecosystem. Many new webshop initiatives are currently being implemented in Shopify. It's simple to use, which makes it ideal for collaborating with other departments within the shop.","I like the user interface since it's simple to read and evaluate, and it doesn't take up a lot of time for someone who is just getting started with website development. Shopify allows you to put your ideas into action right now. Stores can be set up in a matter of minutes thanks to the modular design. The current payment module may be set up, and apps for analysis, marketing, and aesthetics can be deployed. The foundation may be established fast, especially for e-commerce beginners with little history in web design, and the visible development in success stimulates to keep going. Anyone who enjoys Pareto and wants to go from point A to point B fast would like Shopify!","You face the danger of creating a store that looks like any other' due to Shopify's simple operation and now broad use. Structure and fundamental structures are always quite similar, and to stand out from the crowd, code changes are required. Custom coding, especially for newbies, can be intimidating, necessitating the use of commercial tools or the consulting of expert web developers if something ""special"" is required. Integration proved challenging, despite the fact that they have some excellent in-house integrations, or perhaps they require a more experienced programmer."
"Computer Software, Self Employed",Used the Software for: 6-12 months,Reviewer Source,5.0,Best ecommerce platform with good functionals,"Before the Shopify, I used the WordPress e-commerce solution. But It was quite hard to use.","The best online store for the beginner. The best thing is we have 14 days trailer to check our products are working. Other best thing is the responsive sites. It is very cool. When you set up and started your work there is no need to upgrade anything ever. There are more simple things below why I most like shopify,
It is very easy to work. It took few hours to get some experience however it is nice.
No need any coding knowledge.(I didn’t have any coding knowledge but I have done the work)
Excellent customer support team.
Value for money
Excellent User interface.
It is really nice tools to work with social media networks.","Shopify almost has no cons just a few things. But I had some problems when I am using Shopify. These are just a few things. But overall the Shopify is the one of the best one.
Only few themes available in free plan.
Shopify payments not available in many countries.
When I am using export data the software crash.
The functionality isn’t good enough in Blog"
"Design, Self Employed",Used the Software for: 1+ year,Reviewer Source,5.0,my review 14,"Overall, Shopify is a great e-commerce platform for small to medium-sized businesses. It offers a wide range of features that make it easy to manage and grow your online store.",User-friendly interface that makes it easy to navigate and manage your online store.Mobile access allows you to manage your store on the go.Shopping cart and checkout process are seamless and easy to use.Order management and inventory management are efficient and streamlined.Cataloging and categorization options make it easy to organize and display your products.Shipping management options allow you to set up and configure shipping rates and options.SEO management tools help to improve your online store's visibility and search engine rankings.,Some features may require additional costs.Limited customization options for website design.Limited number of payment gateways supported.
Sales And Marketing Specialist in Azerbaijan,"Banking, 1,001–5,000 Employees",Used the Software for: 1+ year,4.0,With Shopify buy confidently and sell easily across the globe,,,
Marketing Manager in US,"Environmental Services, 51–200 Employees",Used the Software for: 2+ years,5.0,Wonderful ECommerce Platform If Used Correctly,"I inherited Shopify for our website and I was initially eager to learn. Unfortunately, I became fatigued over time and wish that updates behind the scenes were more straightforward. The help feature is also lacking so it's a challenge to find assistance on the platform (vs. going to YouTube).","Shopify is a fantastic ecommerce platform. As a digital store front it's easy to use, well-designed, and relatively easy to update. Set up is a breeze! Outwardly it's easy to navigate the website and the user interface is relatively straightforward. Shopping is also a simple experience with the standard work flow of ""add to cart"" and checkout. As an online store, Shopify is a quality product.","Unfortunately, my company's use case changed. We initially sold merchandise, but don't anymore. Therefore, the ease-of-use goes away when compared to other CMS like Wordpress or Webflow. For example, editing pages is challenged. Going to the ""Sales channels"" it's not clear whether a page online is a Blog post or a ""page."" Themes for design are also limited and there isn't a lot of room for customization."
"Education Management, 2–10 Employees",Used the Software for: 2+ years,Reviewer Source,4.0,Great platform until it isn't,,,
Title in science with computer science emphasis in Panama,"Marketing & Advertising, Self Employed",Used the Software for: 1+ year,5.0,A good way to start your digital bussiness,"My experience with Shopify is good, they know how to make the user feel comfortable with the facility of the software. The prices are good for someone who really knows the chance that they had with this platform.","The thing that I most like about this software is that is very easy to use for both buyers and sellers, it´s quite intuitive, and even someone who doesn't know much about technology could use it.","Maybe the one and only thing that I like least abput this software is the prices for the sellers. And don´t get me wrong, the 14 days free trial it´s amazing, but for someone who has no money to invest could be difficult. But even with that in mind, I think that the 14 days free trial is perfect for that kind of people who don´t have enough money at the beggining."
"Internet, 10,000+ Employees",Used the Software for: 1+ year,Reviewer Source,5.0,Extremely easy to setup your webshop,Very positive experience overall. Recommend to use it for setting up webshops,Very easy to setup and get started (even for non coders). Templates are available to create good looking websites. Backend is easy to use to upload and manage content.,Analytics in the lower price tier is very limited. You have to rely on marketplace partners for many features that don't always work very well.
Account Manager in Australia,"Financial Services Software, 2–10 Employees",Used the Software for: 1+ year,5.0,A good app for building an online store - Shopify,I am very happy to use this system on top of other systems; it is a great tool to have to get started with ecom business.,"I have been using Shopify for the last 6 years as an alternative to self coded online stores. eCommerce is a huge business and it is a must to have tools that allow fast development and quick approach to a/b test, and apply various marketing strategies in the stores without too much lag in complex coding.
This is a simple app, that allow to have great designs in a matter of (depends on how tech savvy someone is) but around 30 - 60 mins. I like it because of that and the great integration with payment methods.","it is a paid, (not really a con but worth noticing if you are in a tight budget)"
Project Manager in India,"Pharmaceuticals, 10,000+ Employees",Used the Software for: 1+ year,4.0,An excellent e-commerce platform for wide-ranging sales.,,,
Warehouse supervisor in Canada,"Wholesale, 11–50 Employees",Used the Software for: 1+ year,5.0,Greate tool for our store,We are sticking with shopify and wont change to any other provider for now. This help us a lot in bringing our business online.,"- Easy to use, easy to track and process our online orders- No skill needed, they made super simple for us to add in new products- Tech support is there for us when we have issues",A bit pricy when it comes to purchase nice theme but I guess you get what you paid for.
Owner in US,"Retail, 2–10 Employees",Used the Software for: Free Trial,4.0,Great website host,,,
trainer manager in US,"Market Research Software, 10,000+ Employees",Used the Software for: 2+ years,5.0,"If you are just starting an ecommerce business, this is the easiest way to start.",,,
Multimedia Designer in US,"Retail, 2–10 Employees",Used the Software for: 1+ year,5.0,Shopify Good for Ecommerce,Peace of mind.,"I like the 24 hour customer service of Shopify. Each service agent excude patience.
I like the Shopify understands the needs e-commerce clients, and the functionalities are set up to facilitate.","The only con is that I have to purchase add ons. There are a lot of free ones, and trial offers though"
Director in Ethiopia,"Consumer Goods, 2–10 Employees",Used the Software for: 2+ years,5.0,Amazing,Great!!!!,"We have been running our website with shopify from the very first time and we couldn't be nay happier. It has many features , easy to use , great themes and great price",some features found in wordpress are not found in shopify.
Menger in Saudi Arabia,"Computer Software, 51–200 Employees",Used the Software for: 2+ years,5.0,My review for Shopify,The Shopify Fai store is considered one of the best and most famous stores because of the features mentioned earlier. You can easily add and sell goods through your store,"The thing that surprised me the most is that the store supports most payment methods, from PayPal to Visa Card and the international payment methods package, It also contains a very large number of applications and services that I can link with my online store, for example, anti-virus and other applications that give the customer an impression on the strength and credibility of the store","The subscription price is exaggerated, especially for owners of small shops, as well as for a period 14 A free day is an absolutely useless idea. It is more correct that it be at least two or three months at least, if any online store needs time to start achieving its first sale, or to suggest that it be in accounts Free up to a certain limit on the number of sales within the site"
"Food Production, 2–10 Employees",Used the Software for: 1+ year,Reviewer Source,5.0,Easy to use,It has been easy to use it was easy to implimiate.,"It is easy to use, what features they don't have as a company they have as an app. The apps are not always free but they are there.",THeir is no scan form for the post office. Which is not easy to deal with. They will tell you things are coming but they have been coming for a few years.
"Marketing & Advertising, 1,001–5,000 Employees",Used the Software for: 1+ year,Reviewer Source,4.0,"Simple, easy, and elegant solution for non-technical people",,,
corporate learning in US,,Used the Software for: 2+ years,5.0,"Huge Shopify fan, love how this company integrates many different software programs and functions",Shopify ecommerce store has generated me additional monthly income,"Integration; There's simply no other ecommerce platform that combines so many different integrations such as Google Shopping, Amazon, Pinterest, and FB. All this at little or no additional cost other than the monthly price.
Other than that, Shopify is very user-friendly. I can always intuitively figure my way out of a jam just by playing around a bit on the site. I went from beginner to novice to expert in just under 6 months doing this.","There are some features that are only available through paid apps, I think that should be eliminated to a certain degree. I know Shopify is adding some built-in features such as Ping, which is great. I hope it continues."
FREELANCER in Philippines,"Internet, Self Employed",Used the Software for: 6-12 months,5.0,24/7 customer support team,"The Shopify platform is a great place to start a business. They provide everything you need to get your store up and running, so you can focus on creating a great product.","Shopify offers a 24/7 quoting and support service. Their team of experts is on standby to respond to queries in real-time. They will also be happy to assist with solving any problems that arise with the e-commerce solution you've chosen, so you can focus on growing your business and building a thriving shop.","If you are having technical issues and cannot speak directly to a support person, you can sometimes still receive help. You will need to get in touch with support 24 hours per day, 7 days per week, by phone or email. Access to live chat may also be available in some cases."
Director in Australia,"Consumer Goods, 2–10 Employees",Used the Software for: 1+ year,5.0,A solid ecommerce choice.,"Ive had sites that actively sell things on Shopify, and then Ive had sites that - dont sell things on Shopify.","If I need to build a shop, Shopify would be on the top of my mind as a go to. It has all the essentials that a shop needs, and I know it can achieve all layouts and functionality. It has great range of plugins that do really amazing things that spice up your website. Its all very user friendly.","Shopify's power comes from the powerful library of external tools and plugins, and thats the key to fully transforming your site to a powerhouse. At the same time, it is these stack of tools, that quickly ramp up your monthly bill. Whilst you're actively developing the site further, its great. Once you're done and let your site sit idle and do its thing... you need to deactivate alot of plugins to save cost - which then limits you to go back to 'touch up a few things', knowing you have to reactivate tools, and cough up another monthly tool subscription, just for at times small changes. Its either that or - your website is fully dependent on the plugin, and you are locked in for life to pay that extra bill, often more expensive than Shopify's subscription.
I rely on many other external Website Builder tools . Having a powerful one built into Shopify would be a life saver."
Internet Entrepreneur in Sweden,"Retail, Self Employed",Used the Software for: 2+ years,5.0,Shopify is the world's best ecommerce platform. Period,My experience with Shopify has been excellent. It honestly improved my life so much. They have helped me build an online business that I can run anywhere in the world.,"Where do I even begin? First of all, I got addicted to Shopify the first hour of playing with it. it's an extraordinary software that is pretty easy to learn that let's you make beautiful high-converting online stores. Also nothing beats hearing that cashing sound wherever I am. Oh and by the way. Shopify has the world's best support. In my world, that's a fact.",I've been using Shopify for 2 years and right now I'm sitting here and been thinking for 10 minutes to give some constructive feedback bht I can't come up with something. I'm not a developer. I absolutely adore this company.
